Station_ID,Forecasted_SoE_Proxy_Pct,Forecast_Horizon_Months
ST-01-1,132.2,6
ST-01-2,159.56,6
ST-01-3,137.79,6
ST-02-1,132.98,6
ST-02-2,139.35,6
ST-02-3,152.06,6
ST-03-1,55.55,6
ST-03-2,73,6
ST-03-3,61.3,6
ST-04-1,56.02,6
ST-04-2,57.54,6
ST-04-3,72.26,6
ST-05-1,20.81,6
ST-05-2,39.68,6
ST-05-3,29.78,6
ST-06-1,13.31,6
ST-06-2,36.14,6
ST-06-3,18.09,6
ST-07-1,0,6
ST-07-2,7.07,6
ST-07-3,3.88,6
ST-08-1,81.3,6
ST-08-2,73.92,6
ST-08-3,59.69,6
ST-09-1,0,6
ST-09-2,7.56,6
ST-09-3,0,6
ST-10-1,148.61,6
ST-10-2,159.98,6
ST-10-3,96.83,6
