station_id,name,block,latitude,longitude,status
ST-01-1,Well-ST-01-1,BLK-01,30.63442,75.60037,Over-Exploited
ST-01-2,Well-ST-01-2,BLK-01,30.89585,75.43385,Over-Exploited
ST-01-3,Well-ST-01-3,BLK-01,30.84098,75.55546,Over-Exploited
ST-02-1,Well-ST-02-1,BLK-02,30.95148,75.95929,Over-Exploited
ST-02-2,Well-ST-02-2,BLK-02,31.00147,75.84034,Over-Exploited
ST-02-3,Well-ST-02-3,BLK-02,31.15709,75.98842,Over-Exploited
ST-03-1,Well-ST-03-1,BLK-03,30.54416,76.23496,Critical
ST-03-2,Well-ST-03-2,BLK-03,30.30204,76.29752,Critical
ST-03-3,Well-ST-03-3,BLK-03,30.35397,76.27127,Critical
ST-04-1,Well-ST-04-1,BLK-04,31.31986,76.52065,Critical
ST-04-2,Well-ST-04-2,BLK-04,31.20364,76.84569,Critical
ST-04-3,Well-ST-04-3,BLK-04,31.37414,76.66997,Critical
ST-05-1,Well-ST-05-1,BLK-05,29.9777,75.26094,Semi-Critical
ST-05-2,Well-ST-05-2,BLK-05,30.09545,74.95344,Semi-Critical
ST-05-3,Well-ST-05-3,BLK-05,30.24057,75.25062,Semi-Critical
ST-06-1,Well-ST-06-1,BLK-06,30.65746,74.81658,Semi-Critical
ST-06-2,Well-ST-06-2,BLK-06,30.46851,74.84158,Semi-Critical
ST-06-3,Well-ST-06-3,BLK-06,30.64621,74.73568,Semi-Critical
ST-07-1,Well-ST-07-1,BLK-07,31.7208,75.88178,Safe
ST-07-2,Well-ST-07-2,BLK-07,31.85745,76.18723,Safe
ST-07-3,Well-ST-07-3,BLK-07,31.91508,76.04028,Safe
ST-08-1,Well-ST-08-1,BLK-08,30.39022,75.74768,Critical
ST-08-2,Well-ST-08-2,BLK-08,30.31797,75.88758,Critical
ST-08-3,Well-ST-08-3,BLK-08,30.11091,75.80236,Critical
ST-09-1,Well-ST-09-1,BLK-09,31.63092,75.30595,Safe
ST-09-2,Well-ST-09-2,BLK-09,31.48612,75.49297,Safe
ST-09-3,Well-ST-09-3,BLK-09,31.43551,75.56753,Safe
ST-10-1,Well-ST-10-1,BLK-10,30.84065,76.22432,Over-Exploited
ST-10-2,Well-ST-10-2,BLK-10,30.78042,76.31212,Over-Exploited
ST-10-3,Well-ST-10-3,BLK-10,30.81917,76.24619,Over-Exploited
